vignette_id,true_label,vignette_text
VIG-069,typhoid,"Patient reports a gradually increasing high fever, abdominal pain, and constipation. They are extremely tired and have a rose spots rash on their trunk."
VIG-070,typhoid,"A young girl is brought in with extreme tiredness and a persistent fever. She has a rose spots rash on her trunk, abdominal pain, and severe constipation."
VIG-071,dengue,"A 28-year-old man was hit by a sudden 40C fever this morning. He says his joints hurt so much it feels like his bones are breaking. His eyes are throbbing with retro-orbital pain."
VIG-072,dengue,"Patient is crying from severe bone and joint pain. The fever spiked suddenly to 40C. She also complains of an intense ache behind her eyes. She mentioned she has a mild rash on her leg from a bug bite."
VIG-073,dengue,"The teenager presents with retro-orbital pain and a sudden high fever of 40C. He is struggling to move due to excruciating bone and joint pain."
VIG-074,dengue,"Complaints of a sudden high fever 40C and severe bone and joint pain. The patient is rubbing their eyes constantly due to retro-orbital pain. They are highly distressed."
VIG-075,dengue,"A woman is brought in with severe bone and joint pain and retro-orbital pain. She developed a sudden high fever 40C very rapidly. She also complains of a slight headache."
VIG-076,dengue,"Patient reports a sudden high fever 40C and severe retro-orbital pain. They are experiencing intense bone and joint pain, describing it as 'breakbone fever'. They are annoyed by the bright lights in the clinic."
VIG-077,dengue,"The man has a sudden high fever 40C and severe bone and joint pain. He complains of retro-orbital pain whenever he moves his eyes. He is visibly sweating."
VIG-078,dengue,"Patient is presenting with retro-orbital pain and a sudden high fever 40C. They are in agony due to severe bone and joint pain. They also have a minor scratch on their arm."
VIG-079,dengue,"Complaints of a sudden high fever 40C, severe bone and joint pain, and retro-orbital pain. The patient looks incredibly flushed and is struggling to sit still."
VIG-080,dengue,"A young boy presents with severe bone and joint pain. His mother says he developed a sudden high fever 40C earlier today. He also complains of retro-orbital pain."
VIG-081,dengue,"Patient reports a sudden high fever 40C and severe retro-orbital pain. They have excruciating bone and joint pain. They also mentioned they feel slightly nauseous."
VIG-082,dengue,"The patient has severe bone and joint pain and retro-orbital pain. They developed a sudden high fever 40C this morning. They are complaining about the uncomfortable bed."
VIG-083,dengue,"Complaints of a sudden high fever 40C and retro-orbital pain. The patient is experiencing severe bone and joint pain, making it hard for them to walk."
VIG-084,dengue,"Patient presents with retro-orbital pain, a sudden high fever 40C, and severe bone and joint pain. They look extremely unwell and distressed."
VIG-085,dengue,"A 45-year-old woman reports a sudden high fever 40C and severe bone and joint pain. She also has intense retro-orbital pain and a slight sore throat."
VIG-086,lassa_fever,"The patient has a low-grade slight fever, but her neck and face are massively swollen. I noticed blood weeping from her gums, and she claims she suddenly cannot hear out of her right ear."
VIG-087,lassa_fever,"A 50-year-old man presents with general weakness and a slight fever. He is struggling with difficulty breathing and chest pain. Blood is visible around his nose and eyes."
VIG-088,lassa_fever,"Patient reports sudden deafness and a slight fever. They have massive facial and neck swelling, and mucosal bleeding from the gums. They also complained about the cold weather."
VIG-089,lassa_fever,"The young woman is experiencing severe chest pain and difficulty breathing. She has a slight fever and noticeable facial and neck swelling. She looks extremely weak."
VIG-090,lassa_fever,"Complaints of a slight fever and general weakness. The patient has mucosal bleeding from the eyes and gums, and sudden deafness. They are deteriorating rapidly."
VIG-091,lassa_fever,"A man is brought in with facial and neck swelling and a slight fever. He has difficulty breathing and chest pain. He also mentioned he has a dull ache in his lower back."
VIG-092,lassa_fever,"Patient reports sudden deafness or hearing loss and a slight fever. They have mucosal bleeding from the eyes and gums, and general weakness. They are visibly lethargic."
VIG-093,lassa_fever,"The patient has a slight fever, chest pain, and difficulty breathing. They have severe facial and neck swelling and mucosal bleeding. They are complaining about a dry mouth."
VIG-094,lassa_fever,"Complaints of general weakness, a slight fever, and sudden deafness. The patient has massive facial and neck swelling and mucosal bleeding from the gums."
VIG-095,lassa_fever,"A teenage girl presents with a slight fever and difficulty breathing. She has chest pain, facial and neck swelling, and looks extremely pale and weak."
VIG-096,lassa_fever,"Patient is experiencing mucosal bleeding from the eyes and gums, a slight fever, and sudden deafness. They have general weakness. They also have a minor rash from an old allergy."
VIG-097,lassa_fever,"The man has a slight fever, facial and neck swelling, and chest pain. He is experiencing difficulty breathing and general weakness. He is highly distressed."
VIG-098,lassa_fever,"Patient reports a slight fever, sudden deafness or hearing loss, and mucosal bleeding from the eyes and gums. They have massive facial and neck swelling."
VIG-099,lassa_fever,"Complaints of chest pain, difficulty breathing, and a slight fever. The patient has general weakness and mucosal bleeding from the gums. They also complain of a mild headache."
VIG-100,lassa_fever,"A woman is brought in with a slight fever, sudden deafness, and severe facial and neck swelling. She has mucosal bleeding from the eyes and gums, and general weakness."
VIG-101,inconclusive,"Patient reports a mild sore throat, a runny nose, and a slight cough. No fever is present. They feel a bit tired."
VIG-102,inconclusive,"A 30-year-old ate questionable street meat and now has severe watery diarrhoea and vomiting. No fever, just severe dehydration."
VIG-103,inconclusive,"Patient has a persistent dry cough and lost their sense of taste and smell yesterday. They have a mild temperature but no joint pain."
VIG-104,inconclusive,"A pregnant woman is experiencing morning sickness and lower back pain. No fever or chills."
VIG-105,inconclusive,"Patient was bitten by a stray dog and is now terrified of water, experiencing muscle spasms. High fever present."
VIG-106,inconclusive,"A child fell out of a tree and has a visibly broken arm. They are crying in pain and their forehead feels slightly warm."
VIG-107,inconclusive,"Patient has a severe migraine localized to the left side of their head with aura. Light sensitivity is extreme. No fever."
VIG-108,inconclusive,"A 60-year-old man reports crushing chest pain radiating to his left arm and shortness of breath. No fever or rash."
VIG-109,inconclusive,"Patient complains of itchy, watery eyes and sneezing after walking through a field of pollen. No other symptoms."
VIG-110,inconclusive,"Patient has a highly contagious itchy rash forming blisters all over their body, characteristic of chickenpox. Mild fever."
VIG-111,inconclusive,"A teenager has severe acne and is requesting a dermatology referral. Completely healthy otherwise."
VIG-112,inconclusive,"Patient is experiencing sudden, severe pain in their lower right abdomen, indicating possible appendicitis. Nausea is present."
VIG-113,inconclusive,"An elderly patient presents with confusion and a urinary tract infection. Low-grade fever."
VIG-114,inconclusive,"Patient reports feeling incredibly sad, lethargic, and has no appetite. No physical pain or fever."
VIG-115,inconclusive,"A marathon runner collapsed from heat exhaustion. Their body temperature is elevated, but they are not sweating. No chills."
VIG-116,inconclusive,"Patient has a stiff neck, sudden high fever, and extreme sensitivity to light, indicative of meningitis."
VIG-117,inconclusive,"A diabetic patient presents with a dangerously low blood sugar level. They are sweating, trembling, and pale."
VIG-118,inconclusive,"Patient reports a strange tingling in their hands and feet, progressing to weakness. No recent fevers."
VIG-119,inconclusive,"A woman complains of painful urination and pelvic pressure. No rash or systemic fever."
VIG-120,inconclusive,"Patient presents with a sprained ankle that is swollen and bruised. No signs of systemic infection."
